#ACoolDataset - List of Active
﻿LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000045114-0001-1,WILLIAM ADELMAN,,6320 ENFIELD AVENUE,ENCINO,91316-6412,6320 ENFIELD 91316-6412,,,,424990,Other miscellaneous nondurable goods,12,01/01/2001,,"(34.184, -118.5237)"
0000045116-0001-0,PASCUAL VARGAS,P V WINDOW CLEANING SERVICES,6222 WOODMAN AVENUE UNIT #3,VAN NUYS,91401-2947,6222 WOODMAN 91401-2947,,,,561500,Travel arrangement & reservation services,2,09/01/2004,,"(34.1835, -118.4312)"
0000045119-0001-3,A & H RECYCLING INC,,7221 VINELAND AVENUE,SUN VALLEY,91352-5003,7221 VINELAND 91352-5003,2360 JUPITER DRIVE,LOS ANGELES,90046-2026,423930,Recyclable materials,2,09/01/2004,,"(34.2018, -118.3703)"
0000045119-0002-1,A & H RECYCLING INC,,6730 TUJUNGA AVENUE,NORTH HOLLYWOOD,91606-1910,6730 TUJUNGA 91606-1910,2360 JUPITER DRIVE,LOS ANGELES,90046-2026,,,2,07/01/2005,,"(34.1932, -118.379)"
0000045140-0001-3,YB CLEANING SERVICES LLC,YB CLEANING SERVICES,8260 CELIA PLACE,NORTHRIDGE,91325-4095,8260 CELIA 91325-4095,7120 HAYVENHURST AVENUE SUITE #308,VAN NUYS,91406-3813,561720,Janitorial services,0,08/09/2003,,"(0, 0)"
0000045145-0001-6,KUO-CHUN CHIN/CHI-YING CHIN,,15316 CHASE STREET,NORTH HILLS,91343-6623,15316 CHASE 91343-6623,15492 HAMNER DRIVE,LOS ANGELES,90077-1803,531100,Lessors of real estate (including mini warehouses & self-storage units),7,11/01/1975,,"(34.2246, -118.4658)"
0000045151-0001-1,VCS METAL WORKS INC,V C S METAL WORK,14756 KESWICK STREET,VAN NUYS,91405-1205,14756 KESWICK 91405-1205,7262 FOUNTAIN AVENUE APARTMENT #4,WEST HOLLYWOOD,90046-5733,235910,Structural Steel Erection Contractors (1997 NAICS),6,07/22/2003,,"(34.2102, -118.4548)"
0000045157-0001-9,PAUL PYONGSOK LEE,CELEBRITY  CLEANERS,14352 VENTURA BLVD,SHERMAN OAKS,91423-2755,14352 VENTURA 91423-2755,,,,423600,Electrical & electronic goods,5,04/01/2003,,"(34.1503, -118.4451)"
0000045174-0001-2,LEE SPIRO/GERALD/DIANA BOROK,BOROK & SPIRO,14417 WEDDINGTON STREET,SHERMAN OAKS,91401-5625,14417 WEDDINGTON 91401-5625,4934 GLORIA AVENUE,ENCINO,91436-1527,531100,Lessors of real estate (including mini warehouses & self-storage units),4,01/15/1992,,"(34.1666, -118.4471)"
0000045217-0001-2,JOE SEPE,JOE SEPE HEATING - AIRCONDITIONING,10417 OKLAHOMA AVENUE,CHATSWORTH,91311-2450,10417 OKLAHOMA 91311-2450,,,,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",12,06/01/2001,,
0000045218-0001-7,JOSEPH T SCHOONOVER,,4321 COLFAX AVENUE #17,STUDIO CITY,91604-2870,4321 COLFAX 91604-2870,,,,541600,"Management, scientific, & technical consulting services",2,01/10/2003,,
0000045219-0001-1,VANESSA D STEINER,,4321 COLFAX AVENUE #17,STUDIO CITY,91604-2870,4321 COLFAX 91604,,,,541600,"Management, scientific, & technical consulting services",2,01/10/2002,,"(34.1481, -118.3877)"
0000045226-0001-1,AFFINITY INSURANCE SERVICES,,15303 VENTURA  BLVD FLOOR #12,NORTH HOLLYWOOD,91615-,15303 VENTURA  91615,159 E COUNTY LINE ROAD,HATBORO,19040-1218,,,0,08/25/2004,,"(0, 0)"
0000045255-0001-8,SHERMAN OAKS INVESTMENT CO,SHERMAN OAKS INVESTMENT CO,15130 VENTURA BLVD,SHERMAN OAKS,91403-3301,15130 VENTURA 91403-3301,15130 VENTURA BLVD SUITE #201,SHERMAN OAKS,91403-3301,531100,Lessors of real estate (including mini warehouses & self-storage units),4,02/01/1993,,"(34.1532, -118.4624)"
0000045272-0003-8,ACTIVE RECYCLING CO INC,,14300 BESSEMER STREET,VAN NUYS,91401-3301,14300 BESSEMER 91401-3301,2000 W SLAUSON AVENUE,LOS ANGELES,90047-1019,423930,Recyclable materials,6,03/01/1985,,"(34.1809, -118.4444)"
0000045288-0001-2,MANSOUR NAMDAR,NAMDAR ENGINEERING,16867 SEVERO PLACE,ENCINO,91436-4033,16867 SEVERO 91436-4033,,,,541330,Engineering services,5,01/01/1990,,"(34.1332, -118.5004)"
0000045374-0001-9,CROSS PERSONAL PROPERTY MGMT INC,,4852 TILDEN AVENUE,SHERMAN OAKS,91423-1718,4852 TILDEN 91423-1718,,,,541600,"Management, scientific, & technical consulting services",4,03/01/2003,,"(34.1586, -118.4476)"
0000045396-0002-3,NAM SIK MOON,AM ACUPUNCTURE & HERBS,10745 RIVERSIDE DRIVE UNIT #A,TOLUCA LAKE,91602-2371,10745 RIVERSIDE 91602-2371,,,,621399,Offices of all other miscellaneous health practitioners,4,07/03/2012,,"(34.1522, -118.3649)"
0000045434-0001-2,WENDY M GRIFFIN,WENDY GRIFFIN DESIGNS,6224 LANGDON AVENUE,VAN NUYS,91411-1102,6224 LANGDON 91411-1102,,,,423940,"Jewelry, watch, precious stone, & precious metals",6,07/15/2004,,"(34.1835, -118.4684)"
0000045445-0001-1,ARIK PLUMBING INC,,6245 ETHEL AVENUE #,VAN NUYS,91401-3220,6245 ETHEL 91401-3220,6245 ETHEL AVENUE,VAN NUYS,91401-3220,,,2,04/07/1993,,"(34.1838, -118.4181)"
0000045453-0001-5,BABYLON ADULT DAYCARE CENTER INC,,18725 SHERMAN WAY,RESEDA,91335-4018,18725 SHERMAN 91335-4018,12390 CHANDLER BLVD UNIT #H,VALLEY VILLAGE,91607-2044,623000,Nursing & residential care facilities,3,03/01/2003,,"(34.2011, -118.5411)"
0000045454-0001-0,FIRST CHOICE TICKETS,,17547 VENTURA BLVD #102,ENCINO,91316-3854,17547 VENTURA 91316-3854,,,,561300,Employment services,5,,,
0000045507-0001-3,ROBERT D HARLAN,,18020 HATTON STREET,RESEDA,91335-2138,18020 HATTON 91335,,,,621399,Offices of all other miscellaneous health practitioners,12,06/01/2003,,"(34.2102, -118.5242)"
0000045517-0001-7,KENNETH E COHEN,,17514 VENTURA BLVD #105,ENCINO,91316-3859,17514 VENTURA 91316-3859,,,,541100,Legal services,5,,,
0000045559-0001-1,WKS RESTAURANT CORP,EL POLLO LOCO | EL POLLO LOCO #3467,4544 SAUGUS AVENUE,SHERMAN OAKS,91403-4041,4544 SAUGUS 91403-4041,POST OFFICE BOX #39,LAKEWOOD,90714-0039,722110,Full-service restaurants,4,03/16/2002,,"(34.152, -118.4662)"
0000045559-0004-5,WKS RESTAURANT CORP,EL POLLO LOCO #3525,16940 NORDHOFF STREET,NORTHRIDGE,91343-3526,16940 NORDHOFF 91343-3526,POST OFFICE BOX #39,LAKEWOOD,90714-0039,,,12,12/21/2004,,"(34.2357, -118.5012)"
0000045559-0005-3,WKS RESTAURANT CORP,EL POLLO LOCO #3532,10651 BALBOA BLVD,GRANADA HILLS,91344-6348,10651 BALBOA 91344-6348,POST OFFICE BOX #39,LAKEWOOD,90714-0039,,,12,12/21/2004,,"(34.2635, -118.5022)"
0000045568-0001-0,SUN YOUNG CHOI,A-ONE INVESTMEN,5842 LEMONA AVENUE,VAN NUYS,91411-3004,5842 LEMONA 91411-3004,,,,,,4,10/28/1992,,"(34.1765, -118.4596)"
0000045574-0001-5,DECELIS INVESTORS LP,,16650 SCHOENBORN STREET,NORTH HILLS,91343-6106,16650 SCHOENBORN 91343-6106,16650 SCHOENBORN STREET,NORTH HILLS,91343-6106,531100,Lessors of real estate (including mini warehouses & self-storage units),12,07/01/1975,,"(34.2225, -118.4949)"
0000045595-0016-5,GRANT PARKING INC,GRANT AUTO PARKS,14401 CALVERT STREET,VAN NUYS,91401-,14401 CALVERT 91401-,3208 ROYAL STREET,LOS ANGELES,90007-3657,812930,Parking lots & garages,6,08/01/1991,,"(34.1816, -118.4465)"
0000045612-0001-2,FEDERICO L/ESTRELLA G CABRAL,NA,6829 BEN AVENUE,NORTH HOLLYWOOD,91605-5915,6829 BEN 91605-5915,20603 LEMMER STREET,CHATSWORTH,91311-4502,531100,Lessors of real estate (including mini warehouses & self-storage units),2,05/01/1975,,"(34.1944, -118.3943)"
0000045658-0001-4,THANH AI HANG,,21508 VICTORY BLVD,WOODLAND HILLS,91367-2423,21508 VICTORY 91367-2423,20231 STAGG STREET,WINNETKA,91306-2514,812113,Nail salons,3,07/15/2004,,"(34.188, -118.5998)"
0000045660-0001-1,PINKY TRADING/USA INC,,5275 NEWCASTLE AVENUE #3,ENCINO,91316-4652,5275 NEWCASTLE 91316-4652,,,,423400,Professional & commercial equipment & supplies,5,04/01/1999,,"(34.1665, -118.5243)"
0000045661-0001-6,GENERAL MEDICAL SUPPLY INC,,5275 NEWCASTLE AVENUE #3,ENCINO,91316-4652,5275 NEWCASTLE 91316-4652,,,,423400,Professional & commercial equipment & supplies,5,04/01/1999,,"(34.1665, -118.5243)"
0000045686-0001-6,WAYNE MOTLEY,,15419 VALLEY VISTA BLVD,SHERMAN OAKS,91403-3813,15419 VALLEY VISTA 91403-3813,,,,233210,Single Family Housing Construction (1997 NAICS),5,04/01/1991,,"(34.1494, -118.4707)"
0000045695-0001-5,JUAN C/MARIA TRINIDAD ESPINOSA,SILVER DOLLAR,10205 SAN FERNANDO ROAD,PACOIMA,91331-2618,10205 SAN FERNANDO 91331-2618,7841 ALLOTT AVENUE,VAN NUYS,91402-6409,722410,Drinking places (alcoholic beverages),7,01/05/1993,,"(34.2557, -118.4111)"
0000045712-0001-1,ABSTRACT FLOOR BASE INC,,7845 CANOGA AVENUE,CANOGA PARK,91304-5002,7845 CANOGA 91304-5002,,,,442200,Home furnishings stores,3,09/01/2003,,"(34.2127, -118.5975)"
0000045787-0001-9,APM SERVICES INC,,5011 COLFAX AVENUE,NORTH HOLLYWOOD,91601-3603,5011 COLFAX 91601-3603,,,,,,2,08/24/1992,,"(34.1615, -118.3877)"
0000045821-0001-8,PLANNING DESIGN CONSTRUCTION INC,,16756 OTSEGO STREET,ENCINO,91436-1030,16756 OTSEGO 91436-1030,,,,233210,Single Family Housing Construction (1997 NAICS),5,09/02/2004,,"(34.1646, -118.4979)"
0000045822-0001-2,PHILIP A SCHWARTZ,PASCO PRODUCTION SERVICE,8921 GLORIA AVENUE,NORTH HILLS,91343-3016,8921 GLORIA 91343-3016,POST OFFICE BOX #16993,ENCINO,91416-6993,561720,Janitorial services,12,01/01/1995,,"(34.2326, -118.4807)"
0000045827-0001-5,UNITED SERVICE ACCEPTANCE INC/RICKEY/RUTH GELB ET AL,SHERMAN WAY PROFESSIONAL BUILDING,22048 SHERMAN WAY,CANOGA PARK,91303-3001,22048 SHERMAN 91303-3001,POST OFFICE BOX #8370,VAN NUYS,91409-8370,531100,Lessors of real estate (including mini warehouses & self-storage units),3,11/01/1982,,"(34.201, -118.607)"
0000045842-0001-0,ARMAND GARCIA,EMFORE ENTERPRISES,6601 AURA AVENUE,RESEDA,91335-5875,6601 AURA 91335-5875,,,,443112,"Radio, television, & other electronics stores",3,01/01/1999,,"(34.1904, -118.5545)"
0000045866-0001-5,E L DORAN PUBLIC RELATIONS LLC,,3950 LAUREL CANYON BLVD UNIT #1518,STUDIO CITY,91614-7044,3950 LAUREL CANYON 91614-7044,3950 LAUREL CANYON BLVD #1518,STUDIO CITY,91614-7044,,,0,11/15/1991,,"(0, 0)"
0000045876-0001-9,MITCHELL / RUTH SHAPIRO / RICHARD CLOSE ET AL,BROOKS VENTURE,17200 BURBANK BLVD,ENCINO,91316-1801,17200 BURBANK 91316-1801,POST OFFICE BOX #260515,ENCINO,91426-0515,531100,Lessors of real estate (including mini warehouses & self-storage units),5,07/01/1991,,"(34.1722, -118.5076)"
0000045880-0001-5,LARRY  E GAINES PHD LICENSED PSYCHOLOGIST INC,,19449 SINGING HILLS DRIVE,NORTHRIDGE,91326-1719,19449 SINGING HILLS 91326-1719,,,,621399,Offices of all other miscellaneous health practitioners,12,03/30/1989,,"(34.2784, -118.5556)"
0000045957-0001-4,WOODLAND HILLS COUNTRY CLUB INC,,21150 DUMETZ ROAD,WOODLAND HILLS,91364-4532,21150 DUMETZ 91364-4532,,,,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",3,01/01/1963,,"(34.1583, -118.5923)"
0000046014-0001-0,ROBERT C LIND,LIND DATA SERVICES,11150 GLENOAKS BLVD UNIT #157,PACOIMA,91331-6649,11150 GLENOAKS 91331-6649,8939 S SEPULVEDA BLVD #110-151,LOS ANGELES,90045-3631,,,7,06/01/1999,,"(34.2727, -118.4106)"
0000046017-0001-3,GEORGE SHALHOUB,LAW OFFICES OF GEORGE SHALHOUB,5187 CHIMINEAS AVENUE,TARZANA,91356-4305,5187 CHIMINEAS 91356-4305,POST OFFICE BOX #570605,TARZANA,91357-0605,541100,Legal services,3,12/01/1992,,"(34.1651, -118.5281)"
0000046045-0001-5,THOMAS L SAFRAN,STRATHERN PARK EAST APTS,11047 STRATHERN STREET,SUN VALLEY,91352-3964,11047 STRATHERN 91352-3964,11812 SAN VICENTE BLVD SUITE #600,LOS ANGELES,90049-5082,531100,Lessors of real estate (including mini warehouses & self-storage units),6,06/25/1992,,"(34.2156, -118.372)"
0000046190-0001-9,MYERS/ASSOCIATES INC,,15233 VENTURA BLVD #610,SHERMAN OAKS,91403-2226,15233 VENTURA 91403-2226,,,,541219,Other accounting services,4,07/01/2003,,"(34.1536, -118.4649)"
0000046191-0002-1,TAMARA ENTERPRISES INC,,9237 SAN FERNANDO ROAD,SUN VALLEY,91352-1416,9237 SAN FERNANDO 91352-1416,,,,424300,"Apparel, piece goods, & notions",6,01/01/2007,,"(34.2368, -118.3911)"
0000046194-0001-7,FRANK NICHOLAS D'AMBRA,THE KILLER COCOA COMPANY,3760 CAHUENGA BLVD,STUDIO CITY,91604-3578,3760 CAHUENGA 91604-3578,POST OFFICE BOX #46093,LOS ANGELES,90046-0093,424400,Grocery & related products,4,09/11/2001,,"(34.1358, -118.3619)"
0000046194-0002-5,FRANK NICHOLAS D'AMBRA,,11737 SUNSHINE TERRACE,STUDIO CITY,91604-3842,11737 SUNSHINE 91604-3842,POST OFFICE BOX #46093,LOS ANGELES,90046-0093,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",2,03/01/2014,,"(34.1381, -118.388)"
0000046225-0002-2,ALIREZA RAHMATY,AMERICAN NATIONAL WHOLESALES,18345 VENTURA BLVD UNIT #514,TARZANA,91356-4245,18345 VENTURA 91356-4245,,,,,,3,01/01/2005,,"(34.1671, -118.532)"
0000046289-0001-4,ZYLAN COMPUTER CONSULTING INC,ZYLAN,4973 NOELINE AVENUE,ENCINO,91436-1214,4973 NOELINE 91436-1214,217 PALOS VERDES BLVD #208,REDONDO BEACH,90277-5820,541600,"Management, scientific, & technical consulting services",5,07/01/2003,,"(34.1599, -118.49)"
0000046306-0001-0,CHERISE LEANA BANGS,,23324 BALMORAL LANE,WEST HILLS,91307-1429,23324 BALMORAL 91307-1429,20300 VANOWEN STREET APARTMENT #32,WINNETKA,91306-4357,561500,Travel arrangement & reservation services,12,01/01/2003,,"(34.1986, -118.6352)"
0000046320-0001-0,"FINDLEY DESIGNS, INC",,16161 VENTURA BLVD UNIT #472,ENCINO,91436-2522,16161 VENTURA 91436-2522,,,,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",5,01/01/2003,,"(34.1566, -118.4857)"
0000046381-0001-6,"AARON COPPELSON, M.D. INC",RESTORE MEDICAL GROUP,15963 WOODVALE ROAD,ENCINO,91430-3444,15963 WOODVALE 91430-3444,POST OFFICE BOX #261399,ENCINO,91426-1399,621111,Offices of physicians (except mental health specialists),5,04/01/2003,,"(34.1501, -118.4797)"
0000046406-0001-8,"ARMTECH CO, INC",VH CUSTOM CABINET,9720 GLENOAKS BLVD,SUN VALLEY,91352-1519,9720 GLENOAKS 91352-1519,,,,235510,Carpentry Contractors (1997 NAICS),6,11/16/1992,,"(34.2463, -118.3838)"
0000046427-0001-0,ADVANCED MEASUREMENT LABS INC,,15840 MONTE STREET SUITE #B109,SYLMAR,91342-7670,15840 MONTE 91342-7670,15840 MONTE STREET SUITE #109,SYLMAR,91342-7670,811210,Electronic & precision equipment repair & maintenance,7,12/01/1992,,"(34.3109, -118.4754)"
0000046510-0001-2,SUKHSAGAR/PARDEEP KAUR PANNU,SUBWAY #3555,16060 VENTURA BLVD #114,ENCINO,91436-4432,16060 VENTURA 91436-4432,,,,722110,Full-service restaurants,5,12/20/1992,,"(34.1562, -118.4828)"
0000046513-0001-6,RAFFI CHALIAN DDS INC,,16133 VENTURA BLVD #1070,ENCINO,91436-2440,16133 VENTURA 91436-2440,16133 VENTURA BLVD SUITE #1070,ENCINO,91436-2440,,,5,06/01/1974,,"(34.1565, -118.4847)"
0000046519-0001-3,DON MERTZ,DON MERTZ RESTORATIONS,9075 GLENOAKS BLVD #C,SUN VALLEY,91352-2040,9075 GLENOAKS 91352-2040,,,,811110,Automotive mechanical & electrical repair & maintenance,6,10/01/1992,,"(34.234, -118.3708)"
0000046520-0001-6,JOOHA SHIN,JS AUTO TECH,6153 KESTER AVENUE,VAN NUYS,91411-2148,6153 KESTER 91411-2148,,,,423100,Motor vehicle & motor vehicle parts & supplies,6,10/23/1992,,"(34.1821, -118.4574)"
0000046523-0001-0,ANNETTE E PITARI,,22859 DEL VALLE STREET #208,WOODLAND HILLS,91364-1228,22859 DEL VALLE 91364-1228,3031 GRAND VIEW BLVD #104,LOS ANGELES,90066-1099,541219,Other accounting services,3,01/01/1997,,"(34.1645, -118.6248)"
0000046557-0001-9,FARHAD NAZEMI DC,,14423 HAMLIN STREET,VAN NUYS,91401-1410,14423 HAMLIN 91401-1410,,,,621310,Offices of chiropractors,6,11/16/1992,,"(34.1886, -118.447)"
0000046559-0001-8,HERB SILVERS,FABULOUS FANTASIES,7278 PONDERA CIRCLE,WEST HILLS,91307-1329,7278 PONDERA 91307-1329,7278 PONDERA CIRCLE,WEST HILLS,91307-1329,,,12,11/23/1992,,"(34.2021, -118.6437)"
0000046566-0001-8,JOSE A ESPINOZA,,13618 SHABLOW AVENUE,SYLMAR,91342-2630,13618 SHABLOW 91342-2630,,,,235210,Painting and Wall Covering Contractors (1997 NAICS),7,01/01/2000,,"(34.3202, -118.408)"
0000046579-0001-5,CARLOS DENIS,DENIS ELECTRICAL,7026 BAIRD AVENUE,RESEDA,91335-4126,7026 BAIRD 91335-4126,,,,235310,Electrical Contractors (1997 NAICS),3,11/18/1992,,"(34.198, -118.5373)"
0000046589-0001-9,JEFFREY D WHITE,,7700 TOPANGA CANYON BLVD UNIT #207,CANOGA PARK,91304-5574,7700 TOPANGA CANYON 91304-5574,2800 28TH STREET SUITE #133,SANTA MONICA,90405-6204,561500,Travel arrangement & reservation services,3,01/01/1997,,"(34.2104, -118.6059)"
0000046637-0001-0,HELIODORO ZEPEDA,HOME DESIGN CO,17830 SHERMAN WAY APARTMENT #157,RESEDA,91335-8303,17830 SHERMAN 91335-8303,,,,,,3,01/01/1993,,"(34.2009, -118.5218)"
0000046644-0001-0,JOHNNY AIR CARGO LOS ANGELES INC,JOHNNY AIR CARGO LOSANGELES INC,13558 ROSCOE BLVD,PANORAMA CITY,91402-5518,13558 ROSCOE 91402-5518,153 S VERMONT AVENUE,LOS ANGELES,90004-5904,488000,Support activities for transportation (including motor vehicle towing),6,12/01/1992,,"(34.2216, -118.4283)"
0000046684-0001-4,MEIR ISAACS LIVING TRUST,,13645 VANOWEN STREET,VAN NUYS,91405-4262,13645 VANOWEN 91405-4262,4647 WILLIS AVENUE #310,SHERMAN OAKS,91403-2694,,,2,11/18/1992,,"(34.1939, -118.4294)"
0000046688-0001-2,STARLITE CASINO AMUSEMENT AND ENTERTAINMENT INC,STARLITE CASINO ENTERTAINMENT & AMUSEMENT,18604 PALOMINO DRIVE,TARZANA,91356-5314,18604 PALOMINO 91356-5314,,,,334000,Computer & electronic product mfg.,3,01/01/1993,,"(34.1502, -118.5374)"
0000046692-0001-9,B J COLLECTION INC,T MART,20924 SHERMAN WAY,CANOGA PARK,91303-1742,20924 SHERMAN 91303-1742,1850 E 42ND STREET,LOS ANGELES,90058-1532,424300,"Apparel, piece goods, & notions",3,12/01/1992,,"(34.2009, -118.5894)"
0000046740-0001-0,MARK J FRIEDMAN DDS INC,,16830 VENTURA BLVD SUITE #605,ENCINO,91436-1719,16830 VENTURA 91436-1719,,,,621111,Offices of physicians (except mental health specialists),5,06/01/1975,,"(34.1589, -118.4996)"
0000046744-0001-8,SHANE CLEANERS INC,,22025 VENTURA BLVD #102,WOODLAND HILLS,91364-1664,22025 VENTURA 91364-1664,,,,812310,Coin-operated laundries & drycleaners,3,01/01/1993,,"(34.1685, -118.607)"
0000046749-0001-1,POSITIVE INSURANCE AGENCY INC,POSITIVE INSURANCE,18700 SHERMAN WAY #215,RESEDA,91335-4099,18700 SHERMAN 91335-4099,,,,531210,Offices of real estate agents & brokers,3,01/01/1993,,"(34.201, -118.5404)"
0000046795-0001-1,SONGHUI LEE,,17815 CHATSWORTH STREET UNIT #A,GRANADA HILLS,91344-5641,17815 CHATSWORTH 91344-5641,,,,,,12,01/01/1993,,"(34.2649, -118.5221)"
0000046818-0002-1,ARMAND CONSTANTINE,,5811 LEMONA AVENUE,SHERMAN OAKS,91411-3005,5811 LEMONA 91411-3005,5935 MILES AVENUE,HUNTINGTON PARK,90255-7030,711510,"Independent artists, writers, & performers",4,11/01/2011,,"(34.1759, -118.4596)"
0000046828-0001-7,STEVEN P GRAHAM,PC PROMPTING SERVICES,18320 ANKARA COURT,NORTHRIDGE,91326-2006,18320 ANKARA 91326-2006,,,,561300,Employment services,12,01/01/1993,,"(34.278, -118.5334)"
0000046833-0001-8,WILLIAM FITZGERALD,,23218 VICTORY BLVD,WOODLAND HILLS,91367-1528,23218 VICTORY 91367-1528,,,,233210,Single Family Housing Construction (1997 NAICS),3,01/01/1996,,"(34.1864, -118.6321)"
0000046834-0001-2,CARMEL LANDSCAPING INC,CARMEL LANDSCAPING CO,14113 FOOTHILL BLVD,SYLMAR,91342-1517,14113 FOOTHILL 91342-1517,,,,235210,Painting and Wall Covering Contractors (1997 NAICS),7,12/08/1992,,"(34.3157, -118.441)"
0000046899-0001-7,NIR GURMAN,NIR KEREN,17834 BURBANK BLVD #105,ENCINO,91316-1619,17834 BURBANK 91316-1619,,,,233220,Multifamily Housing Construction (1997 NAICS),5,01/01/2000,,"(34.1722, -118.521)"
0000046935-0001-5,BRIAN SENIT/JACKIE KREITZMAN,MEREX CO,18840 VENTURA BLVD #102,TARZANA,91356-3354,18840 VENTURA 91356-3354,5567 RESEDA BLVD SUITE #201,TARZANA,91356-2674,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",3,01/10/1993,,"(34.1718, -118.5435)"
0000046970-0001-7,BENLIAN BROS CONSTRUCTION INC,,11715 ANDREW AVENUE,GRANADA HILLS,91344-3004,11715 ANDREW 91344-3004,,,,,,12,12/09/1992,,"(34.2836, -118.4885)"
0000047006-0001-2,STEPHEN I GORLICK DDS,,16133 VENTURA BLVD #1230,ENCINO,91436-2416,16133 VENTURA 91436-2416,,,,561730,Landscaping services,5,12/01/1975,,"(34.1565, -118.4847)"
0000047009-0001-6,"MOJDEH ZAFARANCHI, M.D., INC.",,23644 VANOWEN STREET,WEST HILLS,91307-2443,23644 VANOWEN 91307-2443,23644 VANOWEN STREET,WEST HILLS,91307-2443,621111,Offices of physicians (except mental health specialists),12,01/15/1993,,"(34.1932, -118.6419)"
0000047012-0001-8,MACS MILL INC,,14808 1/2 OXNARD STREET,VAN NUYS,91411-3136,14808 OXNARD 91411-3143,,,,423990,Other miscellaneous durable goods,4,01/01/1993,,"(34.1793, -118.456)"
0000047027-0001-4,KENNETH J GREEN,KEN GREEN LANDSCAPING,11125 BRADNER PLACE,NORTHRIDGE,91326-2330,11125 BRADNER 91326-2330,,,,541320,Landscape architecture services,12,01/01/1993,,"(34.2721, -118.5497)"
0000047029-0001-3,YESSAI/HREPSIME HAMAMDJIAN,PYRAMID SHEET METAL,7245 ETON AVENUE,CANOGA PARK,91303-1506,7245 ETON 91303-1506,,,,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",3,01/01/1993,,"(34.2018, -118.5954)"
0000047042-0001-9,ALEXANDER FELDMAN / LIOUBOV FELDMAN,COUTURE EXCHANGE / FINAL TOUCH,12402 VENTURA BLVD,STUDIO CITY,91604-2457,12402 VENTURA 91604-2457,,,,561300,Employment services,2,01/01/1993,,"(34.1428, -118.403)"
0000047045-0002-1,CLAUDIA G WELLS,,11288 VENTURA BLVD,STUDIO CITY,91604-3187,11288 VENTURA 91604-3187,12404 VENTURA BLVD,STUDIO CITY,91604-2406,448120,Women's clothing stores,2,08/08/2008,,"(34.141, -118.3755)"
0000047078-0001-7,CLARK/BESSEMER LLC,CLARK/BESSEMER,11468 DONA DOLORES PLACE,STUDIO CITY,91604-4239,11468 DONA DOLORES 91604-4239,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),2,01/01/1992,,"(34.1312, -118.3839)"
0000047088-0001-1,EDWINA SKAFF,CASA ROSA,4724 SEPULVEDA BLVD,SHERMAN OAKS,91403-5431,4724 SEPULVEDA 91403-5431,17940 RANCHO STREET,ENCINO,91316-4211,531100,Lessors of real estate (including mini warehouses & self-storage units),4,05/18/1990,,"(34.1563, -118.4659)"
0000047088-0002-9,EDWINA SKAFF,JUEL PARK LINGERIE,17940 RANCHO STREET,ENCINO,91316-4211,17940 RANCHO 91316-4211,,,,424300,"Apparel, piece goods, & notions",5,10/01/2012,,"(34.1563, -118.5237)"
0000047099-0001-9,DIANE/CHRISTIANE JANAH,AVALON PRINTING,9534 YOLANDA AVENUE,NORTHRIDGE,91324-2255,9534 YOLANDA 91324-2255,,,,561430,Business service centers (including private mail centers & copy shops),12,01/01/1993,,"(34.2434, -118.5404)"
0000047107-0001-5,FRANKLIN J WALLER,CHARLES CHIPS OF ENCINO,18823 CELTIC STREET,NORTHRIDGE,91326-2736,18823 CELTIC 91326-2736,18823 CELTIC STREET,NORTHRIDGE,91326-2736,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",12,01/01/1993,,
0000047126-0001-8,GERRY R RIVET,COMICS & FUN,7250 RUBIO AVENUE,VAN NUYS,91406-2842,7250 RUBIO 91406-2842,7250 RUBIO AVENUE,VAN NUYS,91406-2842,451120,"Hobby, toy, & game stores",6,01/04/1993,,"(34.2026, -118.4956)"
0000047139-0001-5,CHALLENGE GRAPHICS CORP,,16611 ROSCOE PLACE,NORTH HILLS,91343-6104,16611 ROSCOE 91343-6104,,,,323100,Printing & related support activities,12,12/01/1975,,"(34, -118)"
0000047144-0001-6,INDIRA J MEHTA,MEHTA/CO,10216 OWENSMOUTH AVENUE,CHATSWORTH,91311-2923,10216 OWENSMOUTH 91311-2923,POST OFFICE BOX #3182,CHATSWORTH,91313-3182,423800,"Machinery, equipment, & supplies",12,01/01/1993,,"(34.256, -118.6016)"
